Country,Date,population,,
Africa,1/1/1950,227794000,,
Africa,1/1/1951,232328000,,
Africa,1/1/1952,237097000,,
Africa,1/1/1953,242092000,,
Africa,1/1/1954,247311000,,
Africa,1/1/1955,252749000,,
Africa,1/1/1956,258408000,,
Africa,1/1/1957,264292000,,
Africa,1/1/1958,270407000,,
Africa,1/1/1959,276761000,,
Africa,1/1/1960,283361000,,
Africa,1/1/1961,290214000,,
Africa,1/1/1962,297323000,,
Africa,1/1/1963,304683000,,
Africa,1/1/1964,312292000,,
Africa,1/1/1965,320147000,,
Africa,1/1/1966,328257000,,
Africa,1/1/1967,336631000,,
Africa,1/1/1968,345280000,,
Africa,1/1/1969,354215000,,
Africa,1/1/1970,363448000,,
Africa,1/1/1971,372984000,,
Africa,1/1/1972,382838000,,
Africa,1/1/1973,393044000,,
Africa,1/1/1974,403646000,,
Africa,1/1/1975,414675000,,
Africa,1/1/1976,426144000,,
Africa,1/1/1977,438055000,,
Africa,1/1/1978,450404000,,
Africa,1/1/1979,463184000,,
Africa,1/1/1980,476386000,,
Africa,1/1/1981,490004000,,
Africa,1/1/1982,504034000,,
Africa,1/1/1983,518480000,,
Africa,1/1/1984,533345000,,
Africa,1/1/1985,548626000,,
Africa,1/1/1986,564327000,,
Africa,1/1/1987,580424000,,
Africa,1/1/1988,596849000,,
Africa,1/1/1989,613512000,,
Africa,1/1/1990,630350000,,
Africa,1/1/1991,647344000,,
Africa,1/1/1992,664512000,,
Africa,1/1/1993,681869000,,
Africa,1/1/1994,699445000,,
Africa,1/1/1995,717270000,,
Africa,1/1/1996,735361000,,
Africa,1/1/1997,753738000,,
Africa,1/1/1998,772437000,,
Africa,1/1/1999,791504000,,
Africa,1/1/2000,810984000,,
Africa,1/1/2001,830903000,,
Africa,1/1/2002,851298000,,
Africa,1/1/2003,872248000,,
Africa,1/1/2004,893843000,,
Africa,1/1/2005,916154000,,
Africa,1/1/2006,939210000,,
Africa,1/1/2007,963022000,,
Africa,1/1/2008,987624000,,
Africa,1/1/2009,1013046000,,
Africa,1/1/2010,1039304000,,
Africa,1/1/2011,1066410000,,
Africa,1/1/2012,1094343000,,
Africa,1/1/2013,1123045000,,
Africa,1/1/2014,1152434000,,
Africa,1/1/2015,1182439000,,
Africa,1/1/2016,1213041000,,
Africa,1/1/2017,1244222000,,
Africa,1/1/2018,1275921000,,
Africa,1/1/2019,1308064000,,
Africa,1/1/2020,1340598000,,
Asia,1/1/1950,1404909000,,
Asia,1/1/1951,1435819000,,
Asia,1/1/1952,1464834000,,
Asia,1/1/1953,1492895000,,
Asia,1/1/1954,1520768000,,
Asia,1/1/1955,1549042000,,
Asia,1/1/1956,1578122000,,
Asia,1/1/1957,1608237000,,
Asia,1/1/1958,1639461000,,
Asia,1/1/1959,1671748000,,
Asia,1/1/1960,1705041000,,
Asia,1/1/1961,1739386000,,
Asia,1/1/1962,1775031000,,
Asia,1/1/1963,1812470000,,
Asia,1/1/1964,1852323000,,
Asia,1/1/1965,1894974000,,
